education,sample_1_a,sample_1_b,sample_1_c,sample_1_d,sample_1_e,sample_2_a,sample_2_b,sample_2_c,sample_2_d,sample_2_e,sample_3_a,sample_3_b,sample_3_c,sample_3_d,sample_3_e,sample_4_a,sample_4_b,sample_4_c,sample_4_d,sample_4_e,sample_5_a,sample_5_b,sample_5_c,sample_5_d,sample_5_e
Assoc-voc,0.04,0.05,0.05,0.01,0.03,0.2,0.17,0.15,0.11,0.24,0.16,0.16,0.16,0.16,0.16,0.33,0.33,0.33,0.33,0.33,0.19,0.19,0.19,0.19,0.19
Prof-school,0.01,0.06,0,0.02,0.03,0.022,0.017,0.02,0.016,0.021,0.018735,0.014128,0.017199,0.015971,0.016585,0.019042,0.017199,0.019963,0.016278,0.01766,0.019091,0.017615,0.016324,0.016785,0.018445
Bachelors,,0.19,0.22,0.12,0.11,0.146,0.182,0.187,0.183,0.156,0.165541,0.163084,0.164312,0.16984,0.165541,0.162316,0.167076,0.161548,0.161701,0.169226,0.160324,0.163549,0.169354,0.170828,0.163549
Assoc-voc,,0.02,0.02,0.06,0.05,0.048,0.039,0.038,0.045,0.04,0.042076,0.045455,0.052826,0.040233,0.041155,0.043305,0.048372,,,,0.041832,0.04478,0.04045,0.042845,0.042016
Prof-school,0.04,0.02,0.03,0.02,0.04,0.35,0.39,0.43,0.48,0.42,0.26,0.28,0.24,0.2,0.32,0.05,0.06,0.04,0.02,0.07,0.3,0.26,0.26,0.28,0.14
HS-grad,0.35,0.32,0.35,0.33,0.41,0.2,0.24,0.22,0.21,0.24,0.17,0.17,0.16,0.17,0.17,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02
HS-grad,0.29,0.3,0.4,0.39,0.32,0.23,0.2,0.22,0.23,0.26,0.4,0.4,0.4,0.4,0.4,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03
Masters,0.05,0.07,0.05,0.06,0.06,0.33,0.31,0.32,,0.33,0.21,0.22,0.21,0.21,0.22,0.16,0.17,0.16,0.16,0.15,0.04,0.04,0.04,0.04,0.03
Prof-school,0.02,0.02,0.02,0.01,0.03,0.009,0.014,0.014,0.013,0.022,0.019963,0.019042,0.016278,0.018735,0.019349,0.01766,0.01766,0.016124,0.016431,0.020117,0.017875,0.016309,0.017599,0.019165,0.017967
Prof-school,0.03,0.02,0.01,0.02,0.01,0.15,0.144,0.159,,0.149,0.31,0.33,0.31,0.31,0.31,0.22,0.23,0.22,0.22,0.23,0.04,0.04,0.05,0.05,0.04
HS-grad,0.37,,0.27,0.3,0.26,0.22,0.2,0.23,0.2,0.22,0.16,0.15,0.16,0.16,0.17,0.041,0.042,0.039,0.041,0.043,0.016,0.018,0.017,0.017,0.016
HS-grad,0.34,0.33,0.3,0.24,0.34,0.24,0.22,0.2,0.22,0.23,0.16,0.17,0.15,0.17,0.15,0.04,0.03,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.01
HS-grad,0.35,0.31,0.29,0.31,0.4,0.334,0.347,0.31,0.301,0.307,0.319717,0.318489,0.322789,0.31941,0.305283,0.322789,0.324785,0.31726,0.320792,0.322942,0.324633,0.325002,0.315503,0.324541,0.324541
Bachelors,0.08,0.26,0.18,0.19,0.22,0.3,0.35,0.32,0.29,0.34,0.04,0.04,0.04,0.04,0.04,0.22,0.22,0.22,0.22,0.23,0.02,0.02,0.02,0.02,0.02
